run0 char 92 chosen=' These' lp=-0.5889 top3=[(' These', -0.5889), (' Sh', -0.8389), (' Blue', -4.8389)]
run1 char 92 chosen=' Sh' lp=-0.0802 top3=[(' Sh', -0.0802), (' These', -2.8302), (' Blue', -4.0802)]
run2 char 92 chosen=' Sh' lp=-0.5561 top3=[(' Sh', -0.5561), (' Blue', -1.5561), (' These', -1.5561)]
run3 char 92 chosen=' Sh' lp=-0.4120 top3=[(' Sh', -0.412), (' These', -1.162), (' Blue', -3.912)]
run4 char 92 chosen=' These' lp=-0.3511 top3=[(' These', -0.3511), (' Blue', -1.8511), (' Sh', -2.1011)]
run5 char 92 chosen=' These' lp=-0.2748 top3=[(' These', -0.2748), (' Sh', -2.0248), (' Blue', -2.2748)]
run6 char 92 chosen=' These' lp=-0.2724 top3=[(' These', -0.2724), (' Sh', -1.7724), (' Blue', -2.7724)]
run7 char 92 chosen=' These' lp=-0.5473 top3=[(' These', -0.5473), (' Sh', -1.0473), (' Blue', -2.7973)]
run8 char 92 chosen=' These' lp=-0.4230 top3=[(' These', -0.423), (' Sh', -1.673), (' Blue', -1.923)]
run9 char 92 chosen=' Sh' lp=-0.6543 top3=[(' Sh', -0.6543), (' These', -0.9043), (' Blue', -2.6543)]
distinct texts: [5, 3, 1, 1]
