run0 char 92 chosen=' Sh' lp=-0.5005 top3=[(' Sh', -0.5005), (' These', -1.2505), (' Blue', -2.2505)]
run1 char 92 chosen=' Sh' lp=-0.4801 top3=[(' Sh', -0.4801), (' These', -1.2301), (' Blue', -2.4801)]
run2 char 92 chosen=' These' lp=-0.1622 top3=[(' These', -0.1622), (' Sh', -2.1622), (' Blue', -3.4122)]
run3 char 92 chosen=' These' lp=-0.0721 top3=[(' These', -0.0721), (' Sh', -2.8221), (' Blue', -4.8221)]
run4 char 92 chosen=' Sh' lp=-0.5879 top3=[(' Sh', -0.5879), (' These', -0.8379), (' Blue', -4.5879)]
run5 char 92 chosen=' These' lp=-0.2933 top3=[(' These', -0.2933), (' Sh', -1.5433), (' Blue', -3.2933)]
run6 char 92 chosen=' These' lp=-0.3932 top3=[(' These', -0.3932), (' Sh', -1.3932), (' Blue', -2.6432)]
run7 char 92 chosen=' These' lp=-0.3429 top3=[(' These', -0.3429), (' Sh', -1.3429), (' Blue', -3.5929)]
run8 char 92 chosen=' These' lp=-0.4327 top3=[(' These', -0.4327), (' Sh', -1.1827), (' Blue', -3.1827)]
run9 char 92 chosen=' These' lp=-0.4318 top3=[(' These', -0.4318), (' Sh', -1.1818), (' Blue', -3.1818)]
distinct texts: [1, 2, 7]
